horizontal_concentration	nitroxoline_concentration	norm_fitness	horizontal_drug	replicate
0.3239	0	0.966693100713719	Azithromycin	1
0.2609	0	0.931007137192704	Azithromycin	1
0.1979	0	0.944488501189532	Azithromycin	1
0.1349	0	1	Azithromycin	1
0.0718	0	1	Azithromycin	1
0	0	1	Azithromycin	1
0.45	0.12	0.681205392545599	Azithromycin	1
0.387	0.12	0.715305313243458	Azithromycin	1
0.3239	0.12	0.750991276764473	Azithromycin	1
0.2609	0.12	0.808088818398097	Azithromycin	1
0.1979	0.12	0.846946867565424	Azithromycin	1
0.1349	0.12	0.989690721649485	Azithromycin	1
0.0718	0.12	1	Azithromycin	1
0	0.12	0.965107057890563	Azithromycin	1
0.45	0.225	0.572561459159397	Azithromycin	1
0.387	0.225	0.581284694686757	Azithromycin	1
0.3239	0.225	0.860428231562252	Azithromycin	1
0.2609	0.225	0.82791435368755	Azithromycin	1
0.1979	0.225	0.946867565424267	Azithromycin	1
0.1349	0.225	0.869151467089612	Azithromycin	1
0.0718	0.225	0.956383822363204	Azithromycin	1
0	0.225	1	Azithromycin	1
0.45	0.33	0.47898493259318	Azithromycin	1
0.387	0.33	0.662172878667724	Azithromycin	1
0.3239	0.33	0.641554321966693	Azithromycin	1
0.2609	0.33	0.839016653449643	Azithromycin	1
0.1979	0.33	0.900079302141158	Azithromycin	1
0.1349	0.33	0.919111816019033	Azithromycin	1
0.0718	0.33	1	Azithromycin	1
0	0.33	1	Azithromycin	1
0.45	0.435	0.53766851704996	Azithromycin	1
0.387	0.435	0.587628865979381	Azithromycin	1
0.3239	0.435	0.754956383822363	Azithromycin	1
0.2609	0.435	0.834258524980174	Azithromycin	1
0.1979	0.435	0.878667724028549	Azithromycin	1
0.1349	0.435	0.925455987311657	Azithromycin	1
0.0718	0.435	1	Azithromycin	1
0	0.435	1	Azithromycin	1
0.45	0.54	0.61776367961935	Azithromycin	1
0.387	0.54	0.638382236320381	Azithromycin	1
0.3239	0.54	0.671689135606661	Azithromycin	1
0.2609	0.54	0.455987311657415	Azithromycin	1
0.1979	0.54	0.706582077716098	Azithromycin	1
0.1349	0.54	0.871530531324346	Azithromycin	1
0.0718	0.54	1	Azithromycin	1
0	0.54	1	Azithromycin	1
0.45	0.645	0.178429817605075	Azithromycin	1
0.387	0.645	0.212529738302934	Azithromycin	1
0.3239	0.645	0.33624107850912	Azithromycin	1
0.2609	0.645	0.436161776367962	Azithromycin	1
0.1979	0.645	0.513877874702617	Azithromycin	1
0.1349	0.645	0.684377478191911	Azithromycin	1
0.0718	0.645	0.777954004758129	Azithromycin	1
0	0.645	1	Azithromycin	1
0.45	0.75	0.0523394131641554	Azithromycin	1
0.387	0.75	0.11340206185567	Azithromycin	1
0.3239	0.75	0.285487708168121	Azithromycin	1
0.2609	0.75	0.318794607454401	Azithromycin	1
0.1979	0.75	0.459159397303727	Azithromycin	1
0.1349	0.75	0.570975416336241	Azithromycin	1
0.0718	0.75	0.564631245043616	Azithromycin	1
0	0.75	0.622521808088818	Azithromycin	1
0.45	0	0.726269315673289	Azithromycin	2
0.387	0	0.595290654893304	Azithromycin	2
0.3239	0	0.671081677704194	Azithromycin	2
0.2609	0	0.8719646799117	Azithromycin	2
0.1979	0	0.881530537159676	Azithromycin	2
0.1349	0	1	Azithromycin	2
0.0718	0	1	Azithromycin	2
0	0	1	Azithromycin	2
0.45	0.12	0.679175864606328	Azithromycin	2
0.387	0.12	0.746136865342163	Azithromycin	2
0.3239	0.12	0.852097130242826	Azithromycin	2
0.2609	0.12	0.870493009565857	Azithromycin	2
0.1979	0.12	0.919793966151582	Azithromycin	2
0.1349	0.12	0.973509933774835	Azithromycin	2
0.0718	0.12	1	Azithromycin	2
0	0.12	0.970566593083149	Azithromycin	2
0.45	0.225	0.660044150110375	Azithromycin	2
0.387	0.225	0.699043414275202	Azithromycin	2
0.3239	0.225	0.721854304635762	Azithromycin	2
